Time,Anchor1,Anchor2,Anchor3,Anchor4
17:44:54,[1.65174212],[1.02487613],[1.83084668],[2.17910556]
17:44:54,[1.65086456],[1.02745717],[1.81027105],[2.17451883]
17:44:54,[1.66775315],[1.01801973],[1.81361504],[2.17640279]
17:44:54,[1.66035114],[1.01588079],[1.79664834],[2.1773622]
17:44:55,[1.66472936],[1.02125512],[1.7996234],[2.18240643]
17:44:55,[1.66966675],[1.0229637],[1.8075122],[2.17802865]
17:44:55,[1.68035855],[1.02598274],[1.80795307],[2.18015012]
17:44:55,[1.68194675],[1.02499723],[1.81323204],[2.17847813]
17:44:55,[1.68164321],[1.02109958],[1.81272809],[2.18027466]
17:44:55,[1.68289342],[1.01644695],[1.81231996],[2.1847217]
17:44:56,[1.68102375],[1.01696218],[1.81778394],[2.1811368]
17:44:56,[1.67946236],[1.01880883],[1.81526505],[2.18097579]
17:44:56,[1.68649451],[1.02314898],[1.8117495],[2.17666561]
17:44:56,[1.68011098],[1.02271664],[1.8115093],[2.17986934]
17:44:56,[1.6800959],[1.01962906],[1.80586747],[2.17852792]
17:44:56,[1.68278068],[1.02237681],[1.80642489],[2.17602876]
17:44:57,[1.67838434],[1.02205805],[1.80288095],[2.1779025]
17:44:57,[1.67993543],[1.02178323],[1.80383159],[2.1755119]
17:44:57,[1.68526799],[1.02021489],[1.80598359],[2.17344728]
17:44:57,[1.68722398],[1.01753093],[1.8025337],[2.17298958]
17:44:57,[1.68626662],[1.01388237],[1.80087266],[2.17126813]
17:44:57,[1.68543729],[1.01601538],[1.80605079],[2.1711003]
17:44:58,[1.68604049],[1.01257613],[1.81186091],[2.17227685]
17:44:58,[1.68260065],[1.01223583],[1.81161509],[2.17725992]
17:44:58,[1.68225732],[1.0106205],[1.8140422],[2.17762165]
17:44:58,[1.67800074],[1.00657991],[1.81350881],[2.1818942]
17:44:58,[1.67826447],[1.00439282],[1.81568419],[2.18692081]
17:44:59,[1.67585579],[1.00381351],[1.81757214],[2.18864567]
17:44:59,[1.67244663],[1.00462921],[1.81393668],[2.18882424]
17:44:59,[1.67212408],[1.00797393],[1.80946269],[2.18897925]
17:44:59,[1.66920771],[1.00955919],[1.80821533],[2.1891138]
17:44:59,[1.66799406],[1.00829921],[1.80845056],[2.19186677]
17:45:00,[1.66694045],[1.00852338],[1.81129077],[2.18898474]
17:45:00,[1.66734368],[1.00608212],[1.80980272],[2.18780061]
17:45:00,[1.66901164],[1.00791634],[1.80719295],[2.18545469]
17:45:00,[1.66914189],[1.00819093],[1.80492717],[2.18473584]
17:45:00,[1.6705728],[1.00579369],[1.80296003],[2.18542956]
17:45:00,[1.66917951],[1.00898361],[1.80388776],[2.18207844]
17:45:01,[1.66796984],[1.01043534],[1.80601102],[2.18312234]
17:45:01,[1.66955515],[1.00774241],[1.80653668],[2.18402866]
17:45:01,[1.66434269],[1.01199322],[1.80699306],[2.18481555]
17:45:01,[1.66508819],[1.01700162],[1.81266036],[2.1868165]
17:45:01,[1.66441769],[1.01476122],[1.81626307],[2.18855377]
17:45:01,[1.66647106],[1.01018054],[1.81807326],[2.19137986]
17:45:02,[1.66825384],[0.99039045],[1.81964491],[2.19119803]
17:45:02,[1.65662418],[0.99165675],[1.81046745],[2.1818159]
17:45:02,[1.65048028],[0.99670943],[1.81304135],[2.18289436]
17:45:02,[1.65041699],[0.99846079],[1.81264057],[2.1838307]
17:45:03,[1.65167979],[1.00261686],[1.81624586],[2.18332591]
17:45:03,[1.65672942],[1.00227203],[1.81278732],[2.1815699]
17:45:03,[1.65979589],[1.00592587],[1.81242002],[2.18268077]
17:45:03,[1.65982279],[1.0025095],[1.81473661],[2.18364526]
17:45:03,[1.6585284],[1.00349656],[1.81147696],[2.18184716]
17:45:03,[1.65608683],[1.00435354],[1.81391782],[2.18160375]
17:45:04,[1.66319121],[1.00246211],[1.81076606],[2.18007467]
17:45:04,[1.66408843],[1.0060909],[1.80802963],[2.17874709]
17:45:04,[1.66486743],[1.00660602],[1.81356025],[2.17759444]
17:45:04,[1.66554377],[1.00573552],[1.81572659],[2.17791144]
17:45:04,[1.66876648],[1.00893296],[1.81628972],[2.17818665]
17:45:05,[1.67288226],[1.00775582],[1.81809638],[2.17842561]
17:45:05,[1.67250245],[1.00541606],[1.81571174],[2.17995082]
17:45:05,[1.67217269],[1.00338461],[1.81891231],[2.18259279]
17:45:05,[1.66793315],[1.0055741],[1.82300888],[2.18356887]
17:45:05,[1.66688776],[1.00483957],[1.81865915],[2.18573407]
17:45:06,[1.6620269],[1.0028841],[1.82015358],[2.18366072]
17:45:06,[1.66175981],[1.00645728],[1.82276884],[2.18581382]
17:45:06,[1.66284565],[1.00824187],[1.82503946],[2.18636545]
17:45:06,[1.66378841],[1.00452031],[1.82437539],[2.18816214]
17:45:06,[1.66592469],[1.00392465],[1.82511657],[2.19235756]
17:45:06,[1.67041494],[1.00208973],[1.82444234],[2.19072915]
17:45:07,[1.67167801],[1.00313211],[1.82253921],[2.19326855]
17:45:07,[1.67277463],[1.00403712],[1.82484009],[2.19415559]
17:45:07,[1.66582029],[1.00482287],[1.82552004],[2.19756122]
17:45:07,[1.66505332],[1.01077607],[1.82611038],[2.19656484]
17:45:07,[1.6696584],[1.00935606],[1.8226697],[2.19833525]
17:45:07,[1.65784371],[1.00944091],[1.82363565],[2.19987237]
17:45:08,[1.63309071],[1.01083233],[1.82183882],[2.19988919]
17:45:08,[1.614235],[1.0094049],[1.81500778],[2.19858605]
17:45:08,[1.6980126],[1.00948332],[1.80907691],[2.19481913]
17:45:08,[1.76152623],[1.00823366],[1.80129208],[2.19681959]
17:45:08,[1.81139941],[1.00978417],[1.80507505],[2.19592094]
17:45:09,[1.85733607],[1.00981261],[1.80835952],[2.19250522]
17:45:09,[1.89326621],[1.0098373],[1.81121118],[2.1921751]
17:45:09,[1.89678904],[1.00985874],[1.81895805],[2.19057073]
17:45:09,[1.95914617],[1.01383059],[1.81909535],[2.18786003]
17:45:09,[2.01196847],[1.01332582],[1.81657907],[2.18682428]
17:45:09,[2.05124141],[1.01025207],[1.81307663],[2.18987825]
17:45:10,[2.03394715],[1.00758336],[1.80871797],[2.18989429]
17:45:10,[2.0624174],[1.00658407],[1.80493368],[2.18595499]
17:45:10,[2.08186502],[1.00571646],[1.80164806],[2.18648802]
17:45:10,[2.09611445],[1.00496317],[1.80011314],[2.18826855]
17:45:10,[2.1005797],[1.00826239],[1.80273372],[2.18717897]
17:45:11,[2.10709203],[1.00717362],[1.80632672],[2.18623296]
17:45:11,[2.12987689],[1.00491057],[1.7989043],[2.18936485]
17:45:11,[2.06795911],[1.00821672],[1.80300192],[2.1881308]
17:45:11,[2.00629405],[1.00845171],[1.8012886],[2.18837712]
